LO1;LO2;LO3;LO4;LO5;LO6;LO7;LO8;LO9;LO10;LO11;LO12;LO13;LO_Sum;LO_Median;SE1;SE2;SE3;SE4;SE5;SE6;SE7;SE8;SE9;SE10;SE_Median;IM1;IM2;IM3;IM4;IM5;IM6;IM7;IM8;IM9;IM10;IM_Median;AE1;AE2;AE3;AE4;AE5;AE_Median;BEC_1;BEC_2;BEC_Median;BEE1;BEE2;BEE3;BEE4;BEE_Median;CE1;CE2;DE1;DE2;DE3;RDE1;RDE2;RDE3;RDE_Median;NTLX1;NTLX2;NTLX3;NTLX4;NTLX5;NTLX6;NTLX_Median;NPS1;Type
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;5;5;7;6;6;6;7;6;7;7;7;7;6;7;4;6;6;7;1;1;1;7;7;7;7;9;10;10;10;8;10;10;10;Presence
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;4;3;4;2;4;4;4;3;3;4;4;5;4;4;2;4;3;2;3;3;5;3;5;2;5;6;5;5;7;7;7;5;6;5;1;5;7;3;1;1;1;7;7;7;7;8;10;7;3;7;9;7,5;8;Presence
1;1;1;1;1;1;1;1;0;1;1;1;1;12;1;5;3;3;4;3;4;4;3;2;2;3;4;5;5;4;5;5;5;4;5;5;5;7;6;6;6;7;6;7;7;7;7;7;7;6;7;7;7;2;3;1;6;5;7;6;9;9;10;9;8;10;9;8;Presence
1;1;1;1;1;1;1;0;0;1;1;1;1;11;1;5;4;3;3;4;4;4;4;3;2;4;5;5;4;5;3;4;5;5;3;5;5;7;7;7;7;7;7;7;7;7;7;5;4;4;4;4;7;1;1;1;7;7;7;7;9;10;10;10;9;10;10;8;Presence
0;1;1;1;1;1;1;1;1;1;1;1;1;12;1;5;4;3;4;4;4;4;3;4;4;4;5;5;4;5;4;4;5;4;4;5;4,5;6;6;6;6;6;6;7;7;7;6;5;6;4;5;4;5;1;1;1;7;7;7;7;9;10;8;9;10;9;9;10;Presence
1;1;1;1;1;1;1;1;1;0;1;1;1;12;1;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;2;2;1;6;6;7;6;9;9;10;9;9;10;9;10;Presence
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;5;4;4;4;5;5;4;4;3;4;4;5;5;5;5;4;4;3;3;3;4;4;6;5;4;4;6;5;6;7;6,5;6;5;6;2;5;5;6;2;2;2;6;6;6;6;10;10;10;10;10;10;10;9;Presence
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;4;2;3;2;3;3;3;3;1;3;3;4;4;4;3;4;3;3;3;3;4;3;5;4;5;5;5;5;6;6;6;6;1;4;1;1;5;4;1;2;1;7;6;7;7;6;7;7;8;8;8;7,5;7;Presence
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;5;4;3;4;4;4;5;4;3;2;4;5;4;4;5;4;4;4;3;4;5;4;7;6;6;6;5;6;6;7;6,5;6;7;7;4;7;6;7;1;2;1;7;6;7;7;5;9;6;9;5;9;7,5;8;Presence
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;5;4;4;4;4;4;4;4;4;3;4;4;4;5;5;4;5;4;5;4;4;4,5;6;4;5;6;7;6;6;6;6;6;6;6;7;6;5;6;4;5;2;4;3;6;4;6;7;7;8;5;6;6,5;8;Presence
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;4;3;2;3;3;2;2;3;2;1;3;5;5;5;4;5;5;5;4;4;5;5;7;5;6;6;7;6;6;6;6;7;4;4;3;4;5;6;1;2;1;7;6;7;7;9;10;10;8;9;10;9,5;9;Remote
1;1;1;1;1;1;1;1;1;1;1;1;0;12;1;4;3;2;3;2;3;4;4;3;3;3;4;3;4;4;5;4;2;3;4;4;4;6;4;6;6;7;6;5;6;5,5;6;3;5;1;3;6;6;2;2;1;6;6;7;6;9;9;10;9;9;10;9;8;Remote
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;5;3;4;3;4;4;3;3;3;2;3;4;4;3;4;4;4;2;3;3;5;3,5;6;5;6;6;6;6;6;6;6;5;5;3;2;3;4;5;1;2;1;7;6;7;7;8;9;9;9;9;8;9;8;Remote
1;0;1;1;1;1;1;1;1;0;1;1;0;10;1;3;2;2;2;3;3;2;4;3;1;2;2;4;4;3;4;4;3;2;4;4;4;6;4;4;4;5;4;5;6;5,5;5;2;5;2;2;2;6;2;3;1;6;5;7;6;8;9;5;4;7;9;7,5;2;Remote
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;4;3;4;4;5;4;4;5;3;2;4;4;4;3;4;3;5;3;4;4;4;4;7;5;6;4;7;6;5;7;6;6;5;3;2;3;4;3;1;2;1;7;6;7;7;4;9;6;10;7;9;8;8;Remote
1;1;1;1;1;1;1;1;0;1;1;1;1;12;1;3;2;3;4;2;2;2;3;2;2;2;3;3;3;4;3;5;4;4;4;4;4;5;6;6;6;5;6;6;5;5,5;5;4;5;4;4;5;7;3;3;2;5;5;6;5;5;7;10;3;8;10;7,5;8;Remote
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;4;4;5;4;4;4;5;4;4;4;4;5;4;5;5;4;5;5;4;5;5;5;7;6;6;6;5;6;7;1;4;7;6;7;4;6;6;6;1;1;1;7;7;7;7;4;10;7;9;9;10;9;9;Remote
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;5;3;4;4;3;4;4;4;3;3;4;4;4;4;4;4;5;4;5;4;5;4;7;6;6;6;7;6;6;6;6;6;6;6;3;6;5;7;1;2;1;7;6;7;7;6;7;8;9;8;7;7,5;9;Remote
1;1;1;1;1;1;1;1;0;1;1;1;1;12;1;3;3;1;2;2;3;1;5;5;3;3;4;3;5;4;4;5;4;4;4;5;4;6;5;5;7;4;5;6;7;6,5;7;4;3;2;3;4;6;1;3;1;7;5;7;7;4;8;6;8;9;10;8;7;Remote
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;4;3;3;3;3;3;3;3;3;1;3;5;4;4;4;3;4;4;4;3;5;4;7;5;6;5;7;6;7;7;7;7;5;6;4;5;4;5;1;1;1;7;7;7;7;9;9;10;9;9;9;9;9;Remote
1;1;1;1;1;1;1;0;1;1;1;1;1;12;1;4;4;3;4;3;3;4;4;4;3;4;3;4;4;5;5;5;3;3;4;5;4;7;7;7;7;6;7;7;7;7;7;5;6;5;5;7;7;1;1;1;7;7;7;7;9;10;10;10;10;10;10;10;VR
0;0;1;1;1;1;1;1;1;1;1;1;1;11;1;5;3;5;4;4;4;3;4;4;3;4;3;5;4;4;4;4;4;2;3;5;4;6;7;7;7;7;7;7;7;7;7;5;7;6;6;4;5;3;4;1;5;4;7;5;9;7;9;10;10;10;9,5;10;VR
1;1;1;1;1;1;1;1;0;1;1;1;1;12;1;4;3;4;3;3;2;3;3;3;3;3;2;4;5;5;2;5;4;4;4;5;4,5;7;4;6;7;7;7;5;6;5,5;6;6;5;4;5;7;6;5;1;1;3;7;7;7;4;4;10;8;4;4;4;10;VR
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;4;5;5;4;4;5;5;7;7;7;7;7;7;7;7;7;7;6;6;5;6;6;7;1;1;1;7;7;7;7;8;6;7;9;9;7;7,5;9;VR
1;1;1;1;1;1;1;1;1;1;1;1;1;13;1;3;4;2;3;3;2;3;2;3;3;3;2;3;3;3;4;4;4;3;3;4;3;5;7;7;7;7;7;3;3;3;3;5;5;4;5;5;6;5;5;2;3;3;6;3;7;9;9;7;5;8;7,5;9;VR
1;1;1;1;1;1;0;1;0;1;1;1;0;10;1;4;4;3;1;3;3;3;3;3;4;3;3;5;5;4;4;5;3;3;4;5;4,5;7;7;7;7;7;7;6;5;5,5;7;4;6;6;6;6;6;2;4;2;6;4;6;6;4;5;6;8;4;6;5,5;10;VR
1;1;1;1;1;1;1;1;0;1;1;1;1;12;1;5;4;3;4;4;3;4;4;2;3;4;3;4;4;4;5;5;4;3;5;5;4;7;7;6;6;6;6;6;6;6;6;5;4;5;5;4;6;2;2;1;6;6;7;6;6;7;8;4;6;10;6,5;10;VR
1;1;1;1;1;1;1;0;1;1;1;1;1;12;1;5;3;5;4;4;4;4;5;5;5;4;5;5;5;5;4;4;4;3;4;5;4,5;7;7;7;7;7;7;7;7;7;7;5;4;1;4;6;7;3;3;1;5;5;7;5;8;5;10;10;10;10;10;10;VR
